GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mini-java-app,com.test,DatabaseService,60,34,6,2,17,16,4,6,0,6
mini-java-app,com.test,MiniApp,30,85,3,3,10,32,3,6,0,6
